Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.75,27.75,13.98,14.00,14.15,14.15,14.20,14.01,13.93,13.45,13.62,13.56,13.73,13.78,12.83,11.92,11.60,10.99,10.65,9.36,8.36,8.54,8.59
39.75,28.25,12.95,12.97,13.13,13.13,13.18,12.99,12.92,12.45,12.62,12.57,12.74,12.79,11.85,10.94,10.62,10.02,9.68,8.40,7.41,7.58,7.62
39.75,28.75,12.15,12.17,12.32,12.32,12.38,12.20,12.13,11.67,11.84,11.79,11.96,12.01,11.09,10.19,9.87,9.27,8.93,7.66,6.67,6.84,6.88
39.75,29.25,10.70,10.72,10.88,10.88,10.94,10.76,10.71,10.25,10.42,10.38,10.55,10.60,9.68,8.80,8.47,7.88,7.54,6.28,5.30,5.46,5.49
39.75,29.75,9.57,9.59,9.75,9.75,9.81,9.64,9.59,9.15,9.32,9.28,9.45,9.50,8.59,7.71,7.39,6.80,6.46,5.21,4.24,4.39,4.42
39.75,30.25,10.31,10.33,10.49,10.49,10.55,10.38,10.33,9.88,10.05,10.02,10.18,10.24,9.33,8.44,8.12,7.53,7.18,5.92,4.94,5.10,5.13
39.75,30.75,10.79,10.81,10.96,10.96,11.02,10.84,10.78,10.31,10.48,10.44,10.61,10.67,9.73,8.83,8.50,7.90,7.55,6.27,5.27,5.44,5.47
39.75,31.25,10.60,10.62,10.78,10.78,10.83,10.64,10.57,10.09,10.26,10.21,10.38,10.44,9.48,8.56,8.23,7.62,7.27,5.96,4.94,5.12,5.16
39.75,31.75,11.34,11.36,11.52,11.51,11.56,11.36,11.28,10.78,10.95,10.90,11.08,11.13,10.16,9.21,8.88,8.26,7.91,6.57,5.54,5.72,5.77
39.75,32.25,11.18,11.19,11.35,11.34,11.39,11.18,11.10,10.58,10.75,10.69,10.87,10.93,9.93,8.96,8.63,8.00,7.64,6.28,5.23,5.43,5.48
39.75,32.75,10.36,10.37,10.53,10.52,10.56,10.34,10.25,9.72,9.89,9.83,10.00,10.06,9.04,8.06,7.72,7.08,6.72,5.34,4.27,4.47,4.53
39.75,33.25,10.56,10.57,10.74,10.72,10.76,10.53,10.43,9.88,10.05,9.99,10.16,10.22,9.18,8.18,7.83,7.18,6.83,5.42,4.33,4.54,4.61
39.75,33.75,11.06,11.08,11.24,11.22,11.26,11.02,10.91,10.35,10.51,10.44,10.63,10.69,9.62,8.60,8.25,7.59,7.23,5.79,4.69,4.91,4.99
39.75,34.25,10.89,10.91,11.06,11.04,11.07,10.83,10.72,10.16,10.32,10.25,10.42,10.48,9.43,8.43,8.09,7.45,7.10,5.70,4.62,4.85,4.92
39.75,34.75,9.97,9.98,10.13,10.10,10.13,9.89,9.77,9.22,9.37,9.30,9.47,9.52,8.50,7.52,7.19,6.56,6.23,4.86,3.80,4.03,4.11
39.75,35.25,9.26,9.27,9.42,9.38,9.40,9.16,9.04,8.49,8.64,8.56,8.72,8.78,7.77,6.81,6.50,5.89,5.57,4.22,3.20,3.43,3.51
39.75,35.75,8.86,8.87,9.01,8.97,8.98,8.74,8.62,8.07,8.21,8.13,8.29,8.34,7.36,6.41,6.11,5.52,5.21,3.90,2.89,3.13,3.21
39.75,36.25,8.28,8.29,8.42,8.38,8.39,8.14,8.02,7.48,7.61,7.52,7.68,7.73,6.77,5.85,5.55,4.97,4.68,3.40,2.42,2.66,2.75
39.75,36.75,8.30,8.30,8.43,8.38,8.38,8.14,8.01,7.47,7.59,7.51,7.66,7.71,6.76,5.86,5.58,5.02,4.74,3.49,2.54,2.77,2.87
39.75,37.25,7.56,7.57,7.69,7.64,7.64,7.39,7.25,6.72,6.83,6.75,6.89,6.94,6.02,5.14,4.86,4.32,4.05,2.84,1.91,2.15,2.24
39.75,37.75,8.16,8.16,8.28,8.23,8.22,7.97,7.83,7.29,7.40,7.31,7.45,7.50,6.58,5.70,5.43,4.89,4.63,3.42,2.49,2.74,2.84
39.75,38.25,9.40,9.40,9.52,9.47,9.46,9.19,9.05,8.49,8.60,8.50,8.65,8.70,7.75,6.86,6.58,6.04,5.77,4.54,3.60,3.85,3.96
39.75,38.75,8.54,8.54,8.66,8.61,8.59,8.32,8.17,7.59,7.70,7.60,7.74,7.79,6.83,5.92,5.64,5.09,4.82,3.57,2.62,2.88,2.98
39.75,39.25,7.57,7.58,7.70,7.64,7.63,7.34,7.18,6.59,6.70,6.59,6.74,6.79,5.80,4.88,4.60,4.04,3.77,2.50,1.53,1.80,1.91
39.75,39.75,6.91,6.92,7.05,6.98,6.96,6.67,6.50,5.90,6.00,5.89,6.03,6.08,5.08,4.14,3.86,3.29,3.02,1.73,0.74,1.02,1.13
39.75,40.25,7.45,7.45,7.59,7.52,7.49,7.19,7.02,6.40,6.50,6.38,6.53,6.58,5.56,4.60,4.31,3.74,3.47,2.15,1.15,1.44,1.56
39.25,27.75,14.43,14.45,14.60,14.59,14.64,14.45,14.38,13.91,14.06,14.01,14.17,14.22,13.30,12.42,12.11,11.53,11.21,9.96,9.00,9.18,9.23
39.25,28.25,12.97,12.99,13.14,13.13,13.18,13.00,12.93,12.47,12.63,12.58,12.74,12.79,11.88,11.00,10.68,10.10,9.77,8.52,7.56,7.73,7.77
39.25,28.75,12.17,12.19,12.34,12.34,12.39,12.21,12.15,11.69,11.86,11.82,11.98,12.03,11.12,10.24,9.92,9.34,9.00,7.75,6.78,6.94,6.98
