Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.75,27.75,668.53,672.05,678.21,678.12,678.26,670.15,664.84,647.78,649.08,645.12,648.37,649.49,622.58,599.23,592.33,579.42,573.38,549.55,536.17,541.92,545.70
39.75,28.25,696.51,699.86,705.56,704.81,704.09,695.10,688.84,671.02,671.44,666.84,669.59,670.50,643.93,621.13,614.85,602.82,597.79,575.27,563.27,570.13,574.96
39.75,28.75,706.69,709.87,715.11,713.70,712.12,702.25,695.04,676.47,676.00,670.76,673.02,673.73,647.50,625.24,619.58,608.43,604.40,583.20,572.59,580.54,586.44
39.75,29.25,768.92,771.92,776.70,774.63,772.20,761.44,753.28,733.95,732.60,726.73,728.48,728.99,703.10,681.39,676.35,666.09,663.06,643.16,633.95,643.00,649.95
39.75,29.75,736.78,739.61,743.93,741.19,737.91,726.27,717.16,697.07,694.84,688.32,689.58,689.88,664.34,643.17,638.75,629.37,627.34,608.76,600.94,611.09,619.10
39.75,30.25,504.80,507.55,511.50,508.55,504.90,493.22,483.86,464.14,461.33,454.60,455.41,455.50,431.26,411.37,407.54,399.20,397.96,381.34,375.17,385.65,394.14
39.75,30.75,431.30,434.06,437.72,435.01,431.49,420.61,411.71,393.46,390.39,383.88,384.26,384.14,362.17,344.30,341.03,333.87,333.20,319.21,314.96,325.01,333.38
39.75,31.25,444.32,447.08,450.46,447.98,444.58,434.51,426.06,409.29,405.96,399.66,399.63,399.30,379.59,363.75,361.04,355.06,354.96,343.59,341.27,350.88,359.13
39.75,31.75,409.40,412.17,415.27,413.02,409.76,400.48,392.49,377.19,373.61,367.52,367.07,366.54,349.08,335.26,333.12,328.32,328.80,320.04,319.64,328.82,336.96
39.75,32.25,379.38,382.16,384.97,382.96,379.82,371.35,363.82,349.99,346.14,340.28,339.41,338.66,323.47,311.67,310.09,306.47,307.53,301.39,302.91,311.66,319.67
39.75,32.75,386.51,389.30,391.82,390.05,387.03,379.37,372.29,359.94,355.83,350.18,348.89,347.94,335.01,325.24,324.22,321.78,323.41,319.88,323.34,331.65,339.54
39.75,33.25,393.19,395.98,398.22,396.68,393.79,386.93,380.32,369.44,365.06,359.63,357.92,356.76,346.09,338.34,337.89,336.63,338.83,337.93,343.30,351.18,358.96
39.75,33.75,404.33,407.13,409.09,407.78,405.02,398.96,392.80,383.40,378.77,373.55,371.42,370.05,361.64,355.92,356.02,355.95,358.72,360.44,367.74,375.18,382.84
39.75,34.25,400.56,403.40,405.05,403.47,400.24,393.92,387.33,377.96,372.65,367.05,364.39,362.71,355.29,350.61,351.26,352.17,355.79,359.33,368.05,375.95,384.07
39.75,34.75,466.58,469.46,470.80,468.94,465.25,458.67,451.64,442.79,437.36,431.67,428.58,426.47,419.34,415.08,416.28,418.18,422.65,428.00,438.16,446.51,455.08
39.75,35.25,450.94,453.86,454.90,452.77,448.60,441.77,434.30,425.31,419.28,413.29,409.70,407.30,401.20,397.91,399.65,402.54,407.86,415.02,426.60,435.41,444.44
39.75,35.75,418.28,421.23,421.97,419.56,414.93,407.84,399.93,391.48,384.85,378.56,374.47,371.78,366.72,364.26,366.00,369.87,376.04,385.02,398.03,407.29,416.77
39.75,36.25,411.97,414.97,415.39,412.71,407.62,400.27,392.51,384.29,377.07,370.48,365.88,362.91,358.87,357.50,359.24,363.56,370.57,381.37,395.80,405.52,415.46
39.75,36.75,411.85,414.88,415.00,412.05,406.48,398.87,391.26,383.22,375.40,368.51,364.23,361.60,358.00,356.85,359.12,363.49,371.29,383.90,399.76,409.94,420.33
39.75,37.25,441.39,444.46,444.28,441.05,435.02,427.19,419.50,411.64,403.22,396.06,391.57,388.69,386.09,385.88,388.48,393.83,401.68,416.10,433.40,444.03,454.87
39.75,37.75,465.24,468.17,467.65,463.90,457.24,448.68,439.21,430.75,422.16,415.93,411.39,408.57,406.00,405.98,408.36,414.02,423.44,438.82,457.02,468.11,479.27
39.75,38.25,486.08,488.69,487.82,483.29,475.85,467.12,457.91,448.07,440.89,434.45,430.25,427.80,424.28,423.62,426.27,430.33,439.28,454.74,473.33,484.89,496.24
39.75,38.75,540.55,542.84,541.61,536.30,528.09,517.98,507.86,496.65,488.05,481.41,477.54,475.47,471.00,469.70,472.62,478.15,488.74,504.28,523.27,535.30,546.82
39.75,39.25,567.05,569.01,567.43,561.35,552.35,540.97,529.94,517.35,508.02,500.23,496.70,495.00,489.58,487.64,491.78,499.06,510.24,525.86,545.24,557.73,569.44
39.75,39.75,606.72,608.36,606.42,599.56,589.78,577.03,565.09,551.13,541.63,534.16,530.98,529.64,523.27,520.69,524.73,533.14,544.90,560.60,580.38,593.33,605.22
39.75,40.25,604.73,606.05,603.76,596.12,585.56,571.28,557.05,541.54,531.85,523.00,519.78,518.82,511.49,509.66,516.41,525.56,537.90,553.69,573.86,587.28,599.36
39.25,27.75,660.15,663.69,669.98,670.05,670.46,662.63,657.72,641.02,642.90,639.45,643.18,644.67,618.03,594.87,587.91,574.76,568.21,543.62,528.98,533.52,535.98
39.25,28.25,680.66,684.09,689.95,689.48,689.13,680.61,674.89,657.71,658.71,654.69,657.89,659.14,633.10,610.71,604.38,592.21,586.66,563.73,550.77,556.28,559.74
39.25,28.75,712.59,715.92,721.35,720.33,719.23,710.02,703.49,685.82,685.95,681.35,684.01,685.03,659.59,637.97,632.28,621.08,616.54,595.27,583.99,590.47,594.93
39.25,29.25,754.47,757.70,762.70,761.13,759.27,749.38,742.03,723.88,723.13,717.96,720.09,720.87,696.04,675.18,670.12,659.90,656.36,636.76,627.15,634.60,640.06
39.25,29.75,666.54,669.66,674.23,672.12,669.50,658.92,650.76,632.12,630.50,624.75,626.35,626.90,602.67,582.57,578.14,568.90,566.37,548.43,540.50,548.92,555.38
39.25,30.25,524.86,527.89,532.11,529.81,526.87,516.30,507.95,489.71,487.60,481.70,482.90,483.29,460.29,441.39,437.50,429.20,427.37,411.23,404.83,413.52,420.39
39.25,30.75,452.55,455.52,459.47,457.34,454.52,444.64,436.74,419.78,417.56,411.93,412.88,413.16,392.04,374.77,371.32,363.91,362.48,348.30,343.26,351.54,358.23
39.25,31.25,412.62,415.53,419.20,417.25,414.55,405.36,397.90,382.23,379.90,374.54,375.23,375.41,356.16,340.53,337.51,331.01,329.97,317.74,314.07,321.92,328.45
39.25,31.75,381.78,384.64,388.03,386.25,383.67,375.18,368.16,353.77,351.33,346.24,346.68,346.75,329.37,315.38,312.80,307.19,306.55,296.28,293.97,301.41,307.75
39.25,32.25,349.24,352.03,355.15,353.55,351.08,343.29,336.71,323.60,321.04,316.23,316.42,316.39,300.88,288.52,286.38,281.67,281.42,273.10,272.16,279.18,285.35
39.25,32.75,352.67,355.41,358.25,356.82,354.47,347.38,341.24,329.41,326.84,322.54,322.51,322.20,308.37,297.64,295.94,292.13,292.28,285.91,286.33,292.94,298.93
39.25,33.25,373.79,376.47,379.04,377.78,375.55,369.15,363.96,353.94,351.62,347.57,347.31,346.91,334.58,324.67,323.19,320.27,320.82,316.40,318.19,324.38,330.20
39.25,33.75,419.84,422.45,424.75,423.66,421.55,415.84,410.66,401.85,399.41,395.62,395.12,394.63,384.12,376.18,375.35,373.34,374.28,371.82,374.97,380.74,386.38
39.25,34.25,399.50,402.11,404.09,402.83,400.39,394.66,389.63,381.24,378.30,374.32,373.34,372.58,363.31,356.22,355.64,354.62,356.32,355.81,360.45,366.43,372.35
39.25,34.75,405.85,408.45,410.13,408.69,405.92,400.16,394.50,386.53,383.09,378.91,377.46,376.43,368.39,362.54,362.60,362.59,365.05,366.48,372.62,378.80,385.00
39.25,35.25,396.00,398.60,399.96,398.35,395.25,389.46,383.78,376.23,372.29,367.92,365.98,364.68,357.88,353.27,353.37,354.36,357.59,360.96,368.59,374.98,381.46
39.25,35.75,401.51,404.10,405.16,403.37,399.95,394.12,387.97,380.05,374.97,370.42,368.00,366.43,360.86,358.22,359.50,361.49,365.48,370.79,379.92,386.52,393.27
39.25,36.25,398.96,401.54,402.29,400.33,396.57,390.72,384.34,377.19,372.23,367.48,364.59,362.75,358.41,356.27,357.57,360.55,365.30,372.56,383.18,389.99,397.02
39.25,36.75,412.43,415.00,415.45,413.31,409.22,403.34,396.73,389.54,384.09,379.14,375.93,374.36,370.76,369.66,371.66,375.64,381.15,390.36,402.47,409.49,416.79
39.25,37.25,430.18,432.74,432.88,430.56,426.16,420.24,413.41,407.12,401.16,396.03,392.53,390.71,388.33,388.26,390.16,395.01,401.28,412.43,426.03,433.26,440.85
39.25,37.75,437.23,439.66,439.50,436.76,431.86,425.44,418.23,411.99,405.70,401.04,398.06,396.26,394.07,393.88,395.46,400.40,407.30,419.40,433.87,441.41,449.21
39.25,38.25,499.42,501.57,501.11,497.72,493.41,487.36,480.85,474.32,469.54,465.06,462.36,460.88,457.84,457.08,458.90,461.60,465.82,477.09,491.79,499.75,507.71
39.25,38.75,586.61,588.50,587.74,583.69,578.69,571.61,564.05,555.43,549.19,544.51,542.11,540.94,537.05,535.72,537.77,541.70,547.79,559.79,574.72,583.10,591.21
39.25,39.25,653.21,654.82,653.77,649.06,643.44,635.32,626.99,617.18,611.30,606.44,604.32,603.47,598.73,596.82,599.11,602.76,609.89,621.89,637.05,645.84,654.12
39.25,39.75,704.86,706.20,704.86,699.49,692.12,682.97,673.86,662.86,656.07,651.02,649.19,648.65,643.07,640.59,643.11,648.25,657.09,669.05,684.45,693.65,702.09
39.25,40.25,829.57,830.63,829.00,822.97,814.78,803.47,793.08,780.89,773.84,768.25,766.71,766.49,760.06,757.00,761.15,768.01,777.33,789.25,804.89,814.51,823.10
38.75,27.75,675.25,678.81,685.23,685.47,686.15,678.59,674.09,657.75,660.20,657.27,661.48,663.33,636.96,613.99,606.99,593.59,586.53,561.17,545.28,548.60,549.75
38.75,28.25,658.54,662.06,668.08,667.89,667.91,659.87,654.69,638.14,639.72,636.28,639.92,641.51,616.00,594.02,587.65,575.33,569.28,545.93,532.01,536.17,538.26
38.75,28.75,680.08,683.56,689.19,688.56,687.92,679.39,673.53,656.77,657.49,653.54,656.60,657.93,633.29,612.29,606.57,595.32,590.27,568.94,556.98,561.98,565.01
38.75,29.25,638.85,642.29,647.51,646.45,645.16,636.13,629.60,612.62,612.48,608.01,610.51,611.58,587.80,567.78,562.71,552.53,548.49,529.17,519.18,525.02,528.99
38.75,29.75,554.43,557.83,562.65,561.16,559.21,549.69,542.48,525.30,524.29,519.31,521.24,522.04,499.12,480.09,475.66,466.55,463.53,446.22,438.19,444.88,449.78
38.75,30.25,502.90,506.22,510.71,509.07,506.84,497.37,490.04,473.28,471.86,466.79,468.39,469.07,447.32,429.40,425.46,417.19,414.78,399.12,392.48,399.38,404.64
38.75,30.75,462.98,466.17,470.39,468.86,466.74,457.86,450.95,435.29,433.91,429.17,430.68,431.36,411.09,394.42,390.79,383.14,380.94,366.57,360.73,367.24,372.26
38.75,31.25,476.47,479.54,483.50,482.08,480.06,471.77,465.30,450.72,449.38,444.97,446.39,447.07,428.28,412.86,409.54,402.50,400.53,387.44,382.42,388.52,393.31
38.75,31.75,423.39,426.33,430.03,428.72,426.81,419.11,413.06,399.57,398.28,394.19,395.52,396.20,378.90,364.72,361.71,355.30,353.54,341.74,337.52,343.22,347.78
38.75,32.25,349.35,352.16,355.59,354.39,352.59,345.48,339.86,327.46,326.20,322.71,324.01,324.52,308.55,295.62,292.92,287.12,285.58,275.07,271.66,276.96,281.28
38.75,32.75,328.45,331.13,334.30,333.21,331.53,325.00,319.81,309.24,308.54,305.40,306.63,307.16,292.44,280.13,277.28,272.10,270.77,261.55,258.95,263.85,267.94
