Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.75,27.75,0.00,3.52,9.68,9.59,9.73,1.62,-3.69,-20.75,-19.45,-23.41,-20.16,-19.04,-45.95,-69.30,-76.20,-89.11,-95.15,-118.98,-132.36,-126.61,-122.83
39.75,28.25,0.00,3.35,9.05,8.30,7.58,-1.41,-7.67,-25.49,-25.07,-29.67,-26.92,-26.00,-52.58,-75.37,-81.66,-93.69,-98.72,-121.24,-133.23,-126.38,-121.54
39.75,28.75,0.00,3.18,8.41,7.00,5.43,-4.44,-11.65,-30.23,-30.69,-35.93,-33.68,-32.97,-59.20,-81.45,-87.12,-98.26,-102.29,-123.50,-134.10,-126.15,-120.25
39.75,29.25,0.00,3.00,7.78,5.71,3.28,-7.48,-15.64,-34.97,-36.32,-42.19,-40.44,-39.93,-65.82,-87.53,-92.57,-102.83,-105.86,-125.76,-134.97,-125.92,-118.97
39.75,29.75,0.00,2.83,7.15,4.41,1.13,-10.51,-19.62,-39.71,-41.94,-48.46,-47.20,-46.90,-72.44,-93.61,-98.03,-107.41,-109.44,-128.02,-135.84,-125.69,-117.68
39.75,30.25,0.00,2.75,6.69,3.74,0.10,-11.58,-20.94,-40.67,-43.47,-50.20,-49.40,-49.30,-73.54,-93.43,-97.26,-105.61,-106.85,-123.46,-129.63,-119.15,-110.66
39.75,30.75,0.00,2.76,6.42,3.70,0.18,-10.70,-19.60,-37.85,-40.91,-47.43,-47.04,-47.16,-69.14,-87.00,-90.27,-97.43,-98.10,-112.10,-116.34,-106.29,-97.93
39.75,31.25,0.00,2.76,6.14,3.66,0.27,-9.81,-18.25,-35.03,-38.36,-44.65,-44.69,-45.01,-64.73,-80.57,-83.28,-89.26,-89.35,-100.73,-103.05,-93.44,-85.19
39.75,31.75,0.00,2.77,5.86,3.62,0.35,-8.92,-16.91,-32.21,-35.80,-41.88,-42.33,-42.87,-60.32,-74.14,-76.28,-81.08,-80.60,-89.36,-89.76,-80.58,-72.45
39.75,32.25,0.00,2.78,5.59,3.58,0.44,-8.04,-15.56,-29.39,-33.24,-39.11,-39.98,-40.72,-55.91,-67.71,-69.29,-72.91,-71.86,-78.00,-76.47,-67.72,-59.71
39.75,32.75,0.00,2.79,5.31,3.53,0.52,-7.15,-14.22,-26.57,-30.68,-36.33,-37.62,-38.58,-51.51,-61.28,-62.30,-64.74,-63.11,-66.63,-63.18,-54.87,-46.97
39.75,33.25,0.00,2.79,5.03,3.49,0.60,-6.26,-12.87,-23.75,-28.13,-33.56,-35.27,-36.43,-47.10,-54.85,-55.30,-56.56,-54.36,-55.26,-49.89,-42.01,-34.23
39.75,33.75,0.00,2.80,4.76,3.45,0.69,-5.37,-11.53,-20.93,-25.57,-30.79,-32.91,-34.29,-42.69,-48.42,-48.31,-48.39,-45.61,-43.90,-36.60,-29.15,-21.49
39.75,34.25,0.00,2.84,4.49,2.91,-0.32,-6.64,-13.23,-22.60,-27.92,-33.51,-36.17,-37.85,-45.27,-49.96,-49.30,-48.39,-44.77,-41.24,-32.51,-24.61,-16.50
39.75,34.75,0.00,2.88,4.22,2.36,-1.33,-7.91,-14.94,-23.79,-29.22,-34.91,-38.00,-40.11,-47.24,-51.50,-50.30,-48.40,-43.93,-38.58,-28.42,-20.07,-11.50
39.75,35.25,0.00,2.92,3.95,1.82,-2.34,-9.17,-16.65,-25.64,-31.66,-37.65,-41.24,-43.64,-49.74,-53.04,-51.29,-48.40,-43.09,-35.92,-24.34,-15.53,-6.51
39.75,35.75,0.00,2.95,3.69,1.28,-3.35,-10.44,-18.35,-26.80,-33.43,-39.72,-43.81,-46.50,-51.56,-54.02,-52.28,-48.41,-42.24,-33.26,-20.25,-10.99,-1.51
39.75,36.25,0.00,2.99,3.42,0.74,-4.36,-11.71,-19.46,-27.68,-34.90,-41.50,-46.10,-49.07,-53.10,-54.48,-52.73,-48.41,-41.40,-30.61,-16.17,-6.45,3.49
39.75,36.75,0.00,3.03,3.15,0.20,-5.36,-12.97,-20.59,-28.63,-36.44,-43.34,-47.62,-50.25,-53.85,-55.00,-52.73,-48.35,-40.56,-27.95,-12.08,-1.91,8.48
39.75,37.25,0.00,3.07,2.88,-0.34,-6.37,-14.20,-21.89,-29.76,-38.17,-45.33,-49.82,-52.70,-55.30,-55.51,-52.91,-47.57,-39.72,-25.29,-8.00,2.63,13.48
39.75,37.75,0.00,2.93,2.41,-1.34,-8.00,-16.56,-26.03,-34.49,-43.08,-49.31,-53.85,-56.67,-59.24,-59.26,-56.88,-51.22,-41.80,-26.42,-8.22,2.87,14.03
39.75,38.25,0.00,2.61,1.73,-2.80,-10.23,-18.97,-28.17,-38.01,-45.20,-51.63,-55.84,-58.28,-61.80,-62.46,-59.81,-55.75,-46.81,-31.35,-12.75,-1.19,10.15
39.75,38.75,0.00,2.28,1.06,-4.25,-12.47,-22.57,-32.69,-43.90,-52.51,-59.15,-63.01,-65.09,-69.56,-70.86,-67.94,-62.40,-51.81,-36.27,-17.28,-5.26,6.27
39.75,39.25,0.00,1.96,0.38,-5.70,-14.70,-26.09,-37.12,-49.70,-59.03,-66.83,-70.35,-72.06,-77.48,-79.42,-75.28,-67.99,-56.82,-41.19,-21.81,-9.32,2.39
39.75,39.75,0.00,1.64,-0.30,-7.16,-16.94,-29.68,-41.62,-55.58,-65.09,-72.56,-75.74,-77.08,-83.45,-86.03,-81.99,-73.58,-61.82,-46.12,-26.34,-13.38,-1.49
39.75,40.25,0.00,1.32,-0.97,-8.61,-19.17,-33.45,-47.68,-63.19,-72.88,-81.73,-84.95,-85.91,-93.24,-95.07,-88.32,-79.17,-66.83,-51.04,-30.87,-17.45,-5.37
39.25,27.75,0.00,3.54,9.83,9.91,10.31,2.48,-2.42,-19.12,-17.25,-20.69,-16.96,-15.48,-42.12,-65.28,-72.23,-85.39,-91.94,-116.53,-131.17,-126.63,-124.17
39.25,28.25,0.00,3.43,9.29,8.82,8.47,-0.04,-5.76,-22.95,-21.95,-25.97,-22.77,-21.52,-47.56,-69.95,-76.27,-88.45,-93.99,-116.93,-129.88,-124.38,-120.91
39.25,28.75,0.00,3.33,8.76,7.74,6.64,-2.57,-9.10,-26.77,-26.64,-31.24,-28.58,-27.56,-53.00,-74.62,-80.31,-91.51,-96.05,-117.32,-128.60,-122.12,-117.66
39.25,29.25,0.00,3.22,8.22,6.66,4.80,-5.10,-12.44,-30.59,-31.34,-36.51,-34.38,-33.60,-58.43,-79.30,-84.36,-94.58,-98.11,-117.72,-127.32,-119.87,-114.41
39.25,29.75,0.00,3.12,7.69,5.58,2.96,-7.62,-15.78,-34.42,-36.04,-41.79,-40.19,-39.64,-63.87,-83.97,-88.40,-97.64,-100.17,-118.11,-126.04,-117.62,-111.16
39.25,30.25,0.00,3.03,7.25,4.95,2.02,-8.56,-16.91,-35.14,-37.25,-43.15,-41.95,-41.57,-64.57,-83.47,-87.36,-95.66,-97.49,-113.62,-120.03,-111.33,-104.46
39.25,30.75,0.00,2.97,6.92,4.79,1.97,-7.91,-15.81,-32.77,-34.99,-40.62,-39.67,-39.39,-60.51,-77.78,-81.23,-88.64,-90.07,-104.25,-109.29,-101.01,-94.32
39.25,31.25,0.00,2.91,6.58,4.63,1.93,-7.26,-14.72,-30.39,-32.72,-38.08,-37.39,-37.21,-56.46,-72.09,-75.11,-81.61,-82.65,-94.88,-98.55,-90.70,-84.17
39.25,31.75,0.00,2.85,6.25,4.47,1.89,-6.60,-13.62,-28.02,-30.46,-35.54,-35.10,-35.03,-52.41,-66.40,-68.98,-74.59,-75.23,-85.51,-87.82,-80.38,-74.03
