Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.75,27.75,329.96,327.84,336.45,328.70,323.15,304.74,289.15,264.84,251.69,244.18,246.54,251.48,227.61,205.76,204.30,192.53,190.24,148.90,212.09,229.08,205.35
39.75,28.25,311.53,312.30,311.80,307.32,294.18,282.49,263.72,240.14,236.88,231.44,231.51,234.52,212.55,196.87,194.72,186.32,182.76,206.74,211.85,232.31,248.37
39.75,28.75,336.29,335.51,334.84,326.82,318.18,298.83,286.70,259.09,254.17,244.81,236.17,238.94,217.40,192.45,189.46,154.04,235.39,233.21,237.86,257.70,275.10
39.75,29.25,344.49,342.71,338.35,328.18,315.33,294.91,280.25,254.61,250.37,240.79,242.38,243.14,222.82,203.63,204.96,249.01,256.66,257.08,258.60,278.54,295.68
39.75,29.75,320.94,316.63,313.16,302.16,290.45,272.07,255.95,232.57,228.93,220.91,219.64,220.21,155.97,144.86,243.17,247.09,258.30,255.68,253.85,273.38,293.86
39.75,30.25,314.90,313.80,311.65,303.71,293.11,276.64,261.45,235.34,230.28,171.16,172.48,220.13,159.85,148.83,147.83,231.68,242.02,241.84,245.63,266.85,283.18
39.75,30.75,335.83,338.82,337.60,328.16,318.06,300.84,284.56,261.02,254.77,245.18,243.66,242.52,167.16,155.34,154.35,149.40,252.58,249.61,244.14,268.07,284.11
39.75,31.25,348.57,345.95,345.71,337.39,327.18,308.34,292.87,267.77,260.96,251.61,250.62,250.95,167.75,155.93,154.65,148.80,146.40,268.81,267.30,288.62,303.16
39.75,31.75,331.17,331.22,331.21,323.52,315.50,299.39,284.78,261.97,255.65,244.43,242.01,241.42,171.86,159.39,158.87,153.65,255.34,251.34,250.14,272.50,290.60
39.75,32.25,302.42,304.15,303.90,296.83,290.13,274.76,260.38,241.79,178.95,175.91,176.99,177.75,165.02,153.84,152.72,148.02,229.95,231.81,233.49,256.66,273.17
39.75,32.75,275.28,277.27,277.32,271.30,264.81,249.81,238.41,170.50,168.39,165.95,167.26,168.28,154.82,144.50,143.19,211.93,222.13,227.72,234.91,255.21,272.21
39.75,33.25,256.77,265.85,267.88,263.83,255.95,244.30,184.07,170.96,168.83,196.89,166.79,167.12,154.81,145.03,143.83,203.06,214.38,220.62,231.32,251.27,268.10
39.75,33.75,301.78,303.58,305.25,299.80,291.34,280.40,268.31,248.25,241.47,176.00,176.48,177.63,164.10,153.53,152.31,146.50,145.71,246.00,256.00,275.95,291.32
39.75,34.25,286.85,289.32,290.00,287.09,278.29,267.71,254.13,178.57,176.18,172.51,174.23,173.71,161.63,150.11,149.05,218.19,229.59,237.96,247.83,269.18,286.69
39.75,34.75,206.05,214.79,213.93,213.07,188.60,206.39,190.26,154.67,152.36,149.39,150.86,152.42,139.50,130.40,130.56,171.68,184.06,194.36,209.82,227.68,246.68
39.75,35.25,235.19,240.55,241.11,237.98,227.61,178.22,168.37,153.81,150.38,147.43,164.62,164.65,138.73,128.05,184.93,188.69,200.60,209.34,220.87,240.94,258.08
39.75,35.75,340.27,340.12,337.67,328.62,314.72,183.38,173.72,158.06,156.46,151.71,153.29,155.35,142.73,131.95,211.83,219.27,231.56,236.73,242.48,265.66,280.10
39.75,36.25,316.53,316.79,313.85,307.88,293.12,172.74,163.99,149.43,147.03,142.82,141.58,144.01,133.46,192.13,195.15,198.56,214.25,219.23,224.55,247.22,263.28
39.75,36.75,292.31,290.97,288.35,282.41,264.93,166.12,156.07,143.20,139.77,135.73,134.46,137.03,127.06,171.46,173.97,178.75,189.16,195.67,205.32,228.41,246.28
39.75,37.25,292.81,298.38,293.37,281.07,267.94,249.79,149.41,135.51,133.93,130.58,132.10,132.47,122.91,170.58,172.17,176.27,185.85,189.68,199.73,220.01,240.44
39.75,37.75,294.92,296.92,293.98,281.18,219.61,206.81,151.04,137.47,135.22,132.21,133.35,133.36,123.73,116.78,172.98,176.08,187.29,193.47,202.86,226.88,245.85
39.75,38.25,252.96,257.48,229.95,232.54,227.07,214.14,201.58,183.78,174.20,169.02,169.79,169.39,123.41,115.81,115.91,112.72,115.76,178.46,193.24,218.11,238.73
39.75,38.75,206.23,208.83,180.44,177.54,170.29,161.14,152.47,104.46,100.68,97.62,129.13,131.21,93.55,90.21,91.56,92.48,143.31,150.60,164.40,188.47,209.97
39.75,39.25,216.25,218.31,210.35,151.04,140.11,131.18,123.76,112.59,107.02,104.66,105.82,105.42,101.52,97.57,97.81,140.45,152.45,162.86,176.42,199.54,220.70
39.75,39.75,241.99,244.07,236.26,226.90,200.58,190.93,183.26,168.73,122.73,154.33,121.30,122.41,115.95,129.24,145.75,156.03,171.67,186.02,201.22,222.07,238.32
39.75,40.25,238.40,241.32,192.17,194.89,153.33,182.28,133.15,153.33,117.29,113.90,114.88,115.41,110.09,105.52,109.15,109.19,172.69,189.21,205.60,226.52,244.44
39.25,27.75,261.83,264.81,270.27,269.34,265.67,252.31,242.78,219.52,218.34,212.30,213.98,217.52,195.70,146.11,147.37,164.81,147.41,136.14,160.02,136.70,141.98
39.25,28.25,277.42,278.29,279.75,275.96,267.54,251.24,238.65,220.79,218.68,212.88,216.55,218.61,198.83,181.41,152.83,148.28,149.48,190.47,194.18,208.35,222.73
39.25,28.75,299.14,302.41,303.03,297.52,288.05,272.69,256.77,233.64,227.66,212.17,212.97,175.82,198.30,152.38,152.21,147.69,147.54,209.03,216.00,236.21,251.36
39.25,29.25,332.28,330.89,329.79,316.17,305.07,287.29,271.09,246.74,240.53,234.00,235.88,234.97,215.52,147.58,146.74,240.69,250.58,249.59,253.09,271.85,287.65
39.25,29.75,328.12,322.66,320.73,310.77,297.12,279.54,263.81,238.81,235.41,225.60,229.62,229.69,155.15,143.67,142.65,242.50,253.11,252.28,252.03,272.28,287.46
39.25,30.25,304.03,303.61,304.15,293.89,283.92,267.16,248.76,226.81,166.60,163.94,166.63,168.11,154.60,142.98,142.28,225.60,236.50,236.98,239.35,260.88,277.25
39.25,30.75,316.65,316.50,316.67,307.54,297.15,280.59,264.90,239.33,233.29,168.03,170.24,170.99,158.17,146.65,145.23,139.75,246.21,245.70,248.83,268.95,284.96
39.25,31.25,342.68,343.35,341.72,335.27,325.57,307.88,292.99,267.02,261.83,250.52,249.05,247.17,169.57,157.57,156.60,151.76,252.51,243.85,239.93,260.31,277.11
39.25,31.75,325.58,328.08,329.31,322.49,311.92,294.85,281.42,257.53,251.49,242.11,180.82,181.94,169.34,157.25,156.88,152.00,151.91,224.99,219.44,240.68,258.19
39.25,32.25,297.24,299.18,301.37,295.12,285.99,271.01,259.29,237.83,176.22,171.84,172.52,173.38,188.34,149.20,148.78,144.43,214.58,203.50,204.08,220.63,237.04
39.25,32.75,282.64,280.61,281.70,276.12,268.52,253.46,240.25,166.21,164.53,162.14,163.35,164.04,151.10,140.06,139.12,133.95,217.35,212.28,212.63,232.18,249.11
39.25,33.25,272.87,275.36,277.39,272.65,265.02,252.18,184.16,170.59,169.73,165.82,190.47,166.33,153.61,142.46,141.44,137.01,212.13,214.13,225.83,244.74,263.75
39.25,33.75,284.74,287.03,287.90,282.73,273.81,260.56,247.22,170.10,169.22,166.49,167.41,166.84,154.68,142.73,142.19,136.40,219.29,226.56,235.55,256.04,272.49
39.25,34.25,268.08,273.45,272.90,265.63,259.08,245.06,180.20,165.52,165.26,162.06,163.64,164.45,151.24,139.91,138.58,204.92,213.47,219.94,229.67,247.22,264.19
39.25,34.75,245.70,249.94,251.54,246.76,196.67,186.11,177.35,163.00,161.56,159.20,160.73,161.13,148.27,136.86,135.88,187.51,201.63,208.24,218.67,238.85,254.84
