Lat,Lon,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000
39.75,27.75,0.00,-2.13,6.48,-1.26,-6.81,-25.22,-40.81,-65.12,-78.27,-85.79,-83.42,-78.48,-102.35,-124.20,-125.67,-137.43,-139.72,-181.07,-117.87,-100.88,-124.61
39.75,28.25,0.00,0.77,0.27,-4.21,-17.35,-29.05,-47.81,-71.39,-74.65,-80.10,-80.02,-77.01,-98.98,-114.67,-116.81,-125.21,-128.77,-104.79,-99.68,-79.23,-63.16
39.75,28.75,0.00,-0.78,-1.45,-9.48,-18.12,-37.46,-49.59,-77.20,-82.12,-91.49,-100.12,-97.36,-118.89,-143.84,-146.83,-182.25,-100.91,-103.08,-98.43,-78.59,-61.19
39.75,29.25,0.00,-1.79,-6.14,-16.31,-29.16,-49.58,-64.25,-89.89,-94.12,-103.71,-102.11,-101.36,-121.68,-140.86,-139.53,-95.48,-87.83,-87.42,-85.89,-65.96,-48.82
39.75,29.75,0.00,-4.31,-7.78,-18.78,-30.49,-48.87,-64.99,-88.37,-92.01,-100.04,-101.31,-100.73,-164.98,-176.09,-77.77,-73.85,-62.64,-65.26,-67.10,-47.57,-27.09
39.75,30.25,0.00,-1.10,-3.26,-11.19,-21.79,-38.26,-53.45,-79.57,-84.62,-143.74,-142.43,-94.77,-155.05,-166.07,-167.08,-83.23,-72.88,-73.06,-69.27,-48.05,-31.72
39.75,30.75,0.00,2.98,1.76,-7.68,-17.77,-34.99,-51.27,-74.81,-81.06,-90.66,-92.18,-93.31,-168.67,-180.49,-181.48,-186.43,-83.26,-86.23,-91.70,-67.76,-51.72
39.75,31.25,0.00,-2.61,-2.85,-11.18,-21.39,-40.23,-55.70,-80.80,-87.61,-96.95,-97.95,-97.61,-180.82,-192.64,-193.91,-199.76,-202.17,-79.75,-81.26,-59.94,-45.40
39.75,31.75,0.00,0.06,0.05,-7.65,-15.67,-31.78,-46.38,-69.20,-75.52,-86.74,-89.15,-89.74,-159.30,-171.77,-172.30,-177.51,-75.83,-79.83,-81.03,-58.66,-40.57
39.75,32.25,0.00,1.73,1.48,-5.59,-12.29,-27.66,-42.04,-60.62,-123.47,-126.51,-125.42,-124.66,-137.40,-148.58,-149.70,-154.40,-72.47,-70.61,-68.93,-45.76,-29.24
39.75,32.75,0.00,1.99,2.04,-3.98,-10.47,-25.48,-36.87,-104.79,-106.90,-109.34,-108.02,-107.01,-120.47,-130.78,-132.09,-63.35,-53.15,-47.57,-40.37,-20.08,-3.08
39.75,33.25,0.00,9.08,11.10,7.06,-0.83,-12.47,-72.70,-85.81,-87.94,-59.88,-89.98,-89.65,-101.96,-111.74,-112.94,-53.71,-42.39,-36.15,-25.45,-5.51,11.33
39.75,33.75,0.00,1.80,3.47,-1.99,-10.44,-21.39,-33.47,-53.53,-60.31,-125.78,-125.30,-124.15,-137.68,-148.25,-149.47,-155.28,-156.07,-55.78,-45.78,-25.84,-10.47
39.75,34.25,0.00,2.47,3.16,0.24,-8.55,-19.13,-32.71,-108.27,-110.67,-114.34,-112.61,-113.13,-125.22,-136.74,-137.80,-68.66,-57.26,-48.88,-39.01,-17.67,-0.16
39.75,34.75,0.00,8.74,7.88,7.03,-17.45,0.34,-15.79,-51.37,-53.68,-56.65,-55.19,-53.63,-66.55,-75.64,-75.48,-34.36,-21.99,-11.69,3.77,21.64,40.63
39.75,35.25,0.00,5.36,5.92,2.79,-7.58,-56.97,-66.82,-81.38,-84.81,-87.76,-70.57,-70.54,-96.46,-107.14,-50.26,-46.50,-34.58,-25.85,-14.32,5.75,22.89
39.75,35.75,0.00,-0.15,-2.60,-11.65,-25.55,-156.89,-166.55,-182.21,-183.81,-188.56,-186.98,-184.92,-197.54,-208.32,-128.44,-121.00,-108.71,-103.54,-97.79,-74.61,-60.17
39.75,36.25,0.00,0.26,-2.68,-8.65,-23.41,-143.79,-152.54,-167.10,-169.50,-173.71,-174.95,-172.52,-183.07,-124.40,-121.38,-117.97,-102.28,-97.30,-91.98,-69.31,-53.25
39.75,36.75,0.00,-1.35,-3.96,-9.90,-27.38,-126.19,-136.24,-149.11,-152.54,-156.59,-157.85,-155.28,-165.25,-120.86,-118.34,-113.56,-103.16,-96.65,-86.99,-63.90,-46.03
39.75,37.25,0.00,5.57,0.56,-11.74,-24.88,-43.03,-143.40,-157.30,-158.88,-162.23,-160.72,-160.34,-169.90,-122.23,-120.64,-116.54,-106.96,-103.14,-93.08,-72.80,-52.37
39.75,37.75,0.00,2.01,-0.94,-13.73,-75.30,-88.10,-143.87,-157.44,-159.70,-162.71,-161.57,-161.56,-171.18,-178.13,-121.94,-118.84,-107.63,-101.45,-92.06,-68.04,-49.07
39.75,38.25,0.00,4.52,-23.01,-20.42,-25.89,-38.82,-51.38,-69.18,-78.76,-83.94,-83.17,-83.57,-129.55,-137.15,-137.05,-140.24,-137.20,-74.50,-59.72,-34.85,-14.23
39.75,38.75,0.00,2.60,-25.79,-28.69,-35.94,-45.09,-53.76,-101.77,-105.56,-108.61,-77.10,-75.02,-112.68,-116.03,-114.67,-113.75,-62.92,-55.63,-41.83,-17.76,3.74
39.75,39.25,0.00,2.06,-5.91,-65.21,-76.14,-85.07,-92.49,-103.67,-109.24,-111.59,-110.43,-110.83,-114.73,-118.68,-118.45,-75.80,-63.81,-53.40,-39.84,-16.71,4.44
39.75,39.75,0.00,2.08,-5.73,-15.09,-41.41,-51.06,-58.73,-73.26,-119.26,-87.66,-120.69,-119.58,-126.04,-112.74,-96.23,-85.95,-70.31,-55.97,-40.77,-19.92,-3.67
39.75,40.25,0.00,2.93,-46.23,-43.50,-85.06,-56.11,-105.25,-85.07,-121.10,-124.49,-123.51,-122.99,-128.30,-132.88,-129.25,-129.21,-65.71,-49.19,-32.80,-11.88,6.05
39.25,27.75,0.00,2.98,8.45,7.51,3.84,-9.52,-19.05,-42.31,-43.48,-49.53,-47.85,-44.30,-66.13,-115.72,-114.46,-97.02,-114.42,-125.69,-101.81,-125.13,-119.85
39.25,28.25,0.00,0.87,2.33,-1.46,-9.88,-26.18,-38.77,-56.63,-58.74,-64.54,-60.87,-58.81,-78.60,-96.02,-124.59,-129.14,-127.94,-86.95,-83.24,-69.07,-54.69
39.25,28.75,0.00,3.27,3.89,-1.62,-11.08,-26.44,-42.37,-65.49,-71.48,-86.97,-86.16,-123.32,-100.83,-146.75,-146.92,-151.44,-151.59,-90.10,-83.14,-62.93,-47.78
39.25,29.25,0.00,-1.39,-2.49,-16.11,-27.21,-44.99,-61.19,-85.54,-91.75,-98.28,-96.40,-97.31,-116.76,-184.70,-185.54,-91.59,-81.70,-82.69,-79.19,-60.43,-44.63
39.25,29.75,0.00,-5.47,-7.40,-17.35,-31.00,-48.59,-64.32,-89.31,-92.71,-102.52,-98.50,-98.43,-172.97,-184.45,-185.47,-85.62,-75.01,-75.84,-76.10,-55.84,-40.66
39.25,30.25,0.00,-0.42,0.13,-10.14,-20.11,-36.86,-55.26,-77.21,-137.43,-140.09,-137.39,-135.92,-149.43,-161.05,-161.75,-78.42,-67.53,-67.05,-64.68,-43.15,-26.78
39.25,30.75,0.00,-0.15,0.02,-9.11,-19.50,-36.06,-51.75,-77.32,-83.36,-148.62,-146.41,-145.66,-158.49,-170.01,-171.43,-176.90,-70.44,-70.95,-67.82,-47.70,-31.69
39.25,31.25,0.00,0.67,-0.96,-7.42,-17.11,-34.81,-49.69,-75.67,-80.85,-92.17,-93.63,-95.51,-173.12,-185.11,-186.09,-190.92,-90.17,-98.84,-102.76,-82.38,-65.57
39.25,31.75,0.00,2.50,3.73,-3.09,-13.66,-30.73,-44.16,-68.06,-74.09,-83.47,-144.76,-143.64,-156.24,-168.33,-168.70,-173.58,-173.67,-100.59,-106.14,-84.90,-67.39
39.25,32.25,0.00,1.94,4.13,-2.12,-11.25,-26.22,-37.94,-59.41,-121.01,-125.40,-124.72,-123.86,-108.90,-148.04,-148.46,-152.81,-82.66,-93.74,-93.16,-76.61,-60.20
39.25,32.75,0.00,-2.02,-0.94,-6.52,-14.12,-29.18,-42.39,-116.43,-118.11,-120.50,-119.29,-118.60,-131.54,-142.58,-143.51,-148.69,-65.29,-70.36,-70.01,-50.46,-33.52
39.25,33.25,0.00,2.49,4.52,-0.22,-7.85,-20.69,-88.71,-102.28,-103.14,-107.05,-82.40,-106.54,-119.26,-130.41,-131.43,-135.86,-60.74,-58.74,-47.04,-28.13,-9.12
39.25,33.75,0.00,2.29,3.15,-2.01,-10.93,-24.18,-37.52,-114.64,-115.52,-118.25,-117.33,-117.90,-130.06,-142.01,-142.55,-148.34,-65.45,-58.18,-49.19,-28.70,-12.25
39.25,34.25,0.00,5.37,4.82,-2.45,-9.00,-23.01,-87.88,-102.56,-102.82,-106.02,-104.44,-103.63,-116.84,-128.17,-129.50,-63.16,-54.61,-48.14,-38.41,-20.86,-3.89
39.25,34.75,0.00,4.23,5.84,1.06,-49.04,-59.59,-68.35,-82.70,-84.14,-86.50,-84.97,-84.57,-97.43,-108.84,-109.83,-58.19,-44.08,-37.47,-27.03,-6.85,9.14
39.25,35.25,0.00,3.00,1.55,-7.05,-69.14,-83.48,-146.87,-162.31,-164.52,-168.87,-165.86,-164.03,-177.28,-187.70,-113.98,-110.27,-99.75,-96.80,-92.47,-71.97,-55.40
39.25,35.75,0.00,1.32,-0.66,-10.66,-22.15,-40.45,-175.67,-189.93,-189.67,-193.01,-192.38,-191.66,-201.67,-127.16,-123.31,-117.19,-106.96,-109.89,-111.37,-90.78,-77.30
