ID	AgeID	Genus	Species	Age	AgeType	Precision	PrecisionType	Calibration	preRating	preRatingReason	DatedMaterial	DatedRemain	Association	Association.sub.category	DatingTechnique	C14_Pretreatment	C14_CNRatioValue	C14_NPercentage
1	Pta-3435	Elaphus	cypriotes	3.7	=	0.06	1S	Calibrated	C	contaminated	Collagen	Collagen	Direct	no	Radiocarbon	none	0	0
2	Beta-3412	Elaphus	cypriotes	63.102	=	0.16	1S	Calibrated	C	contaminated	Burnt bone	Burnt bone	Direct	no	Radiocarbon	none	0	0
3	Beta-43174	Elaphus	cypriotes	7.15	=	0.14	1S	Calibrated			Burnt bone	Burnt bone	Direct	no	Radiocarbon	none	0	0
4	UCL-304	Elaphus	cypriotes	79.002	=	0.5	1S	Calibrated	C	contaminated	Shell	Shell	Direct	no	Radiocarbon	none	0	0
5	Pta-3281	Elaphus	cypriotes	83.302	=	0.1	1S	Calibrated	C	contaminated	Burnt bone	Burnt bone	Direct	no	Radiocarbon	none	0	0
6	TX-5976A	Elaphus	cypriotes	9.04	=	0.16	1S	Calibrated			Apatite	Apatite	Direct	no	Radiocarbon	none	0	0
7	ISGS-1743	Elaphus	cypriotes	9.1	=	0.79	1S	Calibrated			Bone	Bone	Direct	no	Radiocarbon	none	0	0
8	TX-5833C	Elaphus	cypriotes	9.24	=	2.42	1S	Calibrated			Acid insoluble fraction	Acid insoluble fraction	Direct	no	Radiocarbon	none	0	0
9	Pta-3128	Elaphus	cypriotes	9.25	=	0.55	1S	Calibrated	C	exposed	Burnt bone	Burnt bone	Direct	no	Radiocarbon	none	0	0
10	TX-5976B	Elaphus	cypriotes	9.42	=	0.15	1S	Calibrated			Collagen	Collagen	Direct	no	Radiocarbon	none	0	0
11	TX-5833A	Elaphus	cypriotes	9.49	=	0.12	1S	Calibrated			Organic material	Organic material	Direct	no	Radiocarbon	none	0	0
12	UCL-203	Elaphus	cypriotes	10.1	=	0.37	1S	Calibrated			Acid insoluble fraction	Acid insoluble fraction	Direct	no	Radiocarbon	none	0	0
13	Beta-41405	Elaphus	cypriotes	10.19	=	0.23	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
14	Beta-41000	Elaphus	cypriotes	10.42	=	0.085	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
15	Beta-41407	Elaphus	cypriotes	10.48	=	0.3	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
16	Beta-4 1406ETH-7331	Elaphus	cypriotes	10.485	=	0.08	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
17	Beta-40382/ETH-7160	Elaphus	cypriotes	10.56	=	0.09	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
18	Beta-4140/ETH-7332	Elaphus	cypriotes	10.575	=	0.08	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
19	Beta-41002/ETH-7189	Elaphus	cypriotes	10.77	=	0.09	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	none	0	0
20	Beta-43176	Elaphus	cypriotes	10.77	=	0.16	1S	Calibrated			Burnt bone	Burnt bone	Direct	no	Radiocarbon	none	0	0
21	UCL201	Elaphus	cypriotes	10.8	=	0.55	1S	Calibrated			Shell	Shell	Direct	no	Radiocarbon	none	0	0
22	Beta-22811	Elaphus	cypriotes	10.81	=	0.11	1S	Calibrated	C	exposed	Shell	Shell	Direct	no	Radiocarbon	none	0	0
23	SMU-1991	Elaphus	cypriotes	10.84	=	0.06	1S	Calibrated			Shell	Shell	Direct	no	Radiocarbon	none	0	0
24	Beta-40655	Elaphus	cypriotes	10.84	=	0.27	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	Acid wash	0	0
25	Pta-3322	Elaphus	cypriotes	10.97	=	0.1	1S	Calibrated	C	exposed	Shell	Shell	Direct	no	Radiocarbon	none	0	0
26	Pta-3112	Elaphus	cypriotes	11	=	0.1	1S	Calibrated	C	exposed	Shell	Shell	Direct	no	Radiocarbon	none	0	0
27	Beta-28795	Elaphus	cypriotes	11.03	=	0.13	1S	Calibrated			Shell	Shell	Direct	no	Radiocarbon	none	0	0
28	UCL194	Elaphus	cypriotes	11.2	=	0.5	1S	Calibrated			Shell	Shell	Direct	no	Radiocarbon	none	0	0
29	UCL192	Elaphus	cypriotes	11.7	=	0.5	1S	Calibrated			Shell	Shell	Direct	no	Radiocarbon	none	0	0
30	Beta40380	Elaphus	cypriotes	11.72	=	0.24	1S	Calibrated			Charcoal	Charcoal	Direct	no	Radiocarbon	Acid wash	0	0
